usuario_id,canal,investimento,data_aquisicao,fonte_midia,plataforma,versao_app,marca,modelo
07a87909-6be5-47ec-9b53-eaecee8541ce,mms,1.98,2025-01-14 12:26:18+00,Facebook Ads,Android,1.1,LG,K51
08005ff2-f72b-4d3d-a6c9-2ac60bf4292a,mms,0.00,2025-01-10 05:24:50+00,Orgânico,Android,1.2,Xiaomi,Redmi Note 10
08141c42-a3bf-4ff0-887e-bfe7515aaffb,sms,4.32,2025-03-04 03:40:11+00,Google Ads,Android,1.1,Motorola,Moto G Power
0858848a-dab6-46ed-9339-73d9b6f22627,push,3.37,2025-03-25 12:35:13+00,Google Ads,Android,1.1,LG,Velvet
0886a57d-2316-49c1-b222-3c037a57829e,sms,4.94,2025-03-06 20:22:15+00,Facebook Ads,iOS,1.2,Apple,iPhone SE
089fceaf-3c59-4b8c-a84b-968ba0a44000,push,0.10,2025-02-02 06:19:50+00,Facebook Ads,Android,1.1,Motorola,Moto G Power
08f613a6-0b8f-46b4-b3ca-6e693781c492,sms,0.00,2025-03-28 05:32:18+00,Orgânico,Android,2,Samsung,Galaxy S21
090203a5-1ab5-45d7-98b3-226871c7e394,sms,3.94,2025-02-25 14:45:59+00,Google Ads,Android,2,Samsung,Galaxy M32
091775d7-c3ef-40f6-897d-271ca1282040,push,2.37,2025-02-18 08:08:05+00,Google Ads,Android,1.1,Motorola,Moto G Stylus
093ad6ec-aec4-473f-bae2-0fe08c594472,push,2.65,2025-01-12 09:09:59+00,Facebook Ads,iOS,1.1,Apple,iPhone SE
095149c9-5f5f-45b1-a639-3c1d153e7976,sms,2.86,2025-01-28 19:55:21+00,Google Ads,iOS,1.2,Apple,iPhone 12
099b21d4-91af-4b90-adb7-ae6bdc4f43c8,sms,1.59,2025-01-09 20:47:07+00,Google Ads,iOS,1.2,Apple,iPhone 12
0a2bb9fe-230c-472f-a4ad-1151bd4ba345,email,0.73,2025-01-26 16:47:31+00,Facebook Ads,iOS,2,Apple,iPhone 13
0a375da9-4359-43be-9046-993504cdd3f9,mms,0.00,2025-02-08 11:08:56+00,Orgânico,Android,1.1,Xiaomi,Redmi Note 10
0a7150b8-9b47-4d9c-a3ee-7acade671616,mms,3.40,2025-02-24 20:53:42+00,Facebook Ads,Android,1,Motorola,Moto G Stylus
0a761424-25fa-49f0-9d36-43db9b9f80b6,mms,2.64,2025-02-06 08:34:44+00,Google Ads,iOS,1.1,Apple,iPhone 13
0ad4052d-aa71-4627-b1be-634a86eefa51,mms,0.00,2025-02-16 18:51:49+00,Orgânico,Android,2,Motorola,Moto Edge
0adfe8c6-00a1-420c-a191-e6719d2d57e7,mms,0.00,2025-02-25 01:24:40+00,Orgânico,Android,1,LG,K51
0b079f8a-c816-429c-939e-06e53fac8dbd,sms,4.21,2025-01-20 08:09:41+00,Google Ads,iOS,1,Apple,iPhone 13
0b9d10a3-a88b-4e76-88e3-4f5aef6d6984,push,0.00,2025-02-08 20:17:20+00,Orgânico,iOS,1.1,Apple,iPhone 12
0be1e4f1-d555-495c-ab1c-039f9bc8e296,email,0.00,2025-01-26 17:58:12+00,Orgânico,iOS,1.2,Apple,iPhone 13
0bfc76f2-f3f5-4092-8869-6326d3369020,email,1.76,2025-02-22 09:25:33+00,Facebook Ads,Android,1.2,Samsung,Galaxy A52
0c331f01-7ee2-4165-af66-9e1945305987,email,0.00,2025-01-15 05:23:44+00,Orgânico,Android,1.2,LG,Wing
0c4f9140-314c-44be-8c48-9205a043776c,sms,0.00,2025-01-30 04:55:30+00,Orgânico,iOS,2,Apple,iPhone SE
0c5396fc-21b6-4df0-985e-300ae74b3266,sms,3.71,2025-03-22 21:44:14+00,Google Ads,Android,1,LG,Wing
0c7fec68-24b4-4777-9620-d378f115698f,sms,4.31,2025-03-21 09:35:50+00,Facebook Ads,iOS,1,Apple,iPhone SE
0d190abb-5aea-4e16-bac7-7312e510721b,email,4.04,2025-02-27 04:52:36+00,Facebook Ads,Android,1.2,Samsung,Galaxy M32
0d48861f-6ca9-4ef4-88a1-fc135687d2ce,push,0.00,2025-02-02 02:30:57+00,Orgânico,Android,1.1,LG,Wing
0d5c5c51-fe18-493c-9efb-7d74c7320301,mms,3.30,2025-02-28 19:33:01+00,Google Ads,iOS,1.2,Apple,iPhone 13
0d800fb9-b42d-4e2a-8c5f-8afc4c022485,sms,0.00,2025-01-15 18:22:25+00,Orgânico,iOS,1.2,Apple,iPhone SE
0da8bac4-c453-4368-855a-d734fafc70a6,sms,4.01,2025-02-25 12:23:29+00,Facebook Ads,Android,1.2,Motorola,Moto G Stylus
0e085fa7-a9dd-4346-8f7c-5e576d2e63db,mms,3.92,2025-02-16 23:58:11+00,Google Ads,iOS,1.1,Apple,iPhone 13
0e252e0d-3637-4c1d-b354-e8dc695e4bdd,sms,2.01,2025-03-24 23:07:34+00,Facebook Ads,Android,2,Samsung,Galaxy S21
0e887e9b-4da3-4382-8784-b7fe891d6a5b,push,0.00,2025-01-21 15:13:48+00,Orgânico,Android,1.1,Motorola,Moto Edge
0ea3db1e-7f39-4f5d-b19f-399860a5e52a,push,4.58,2025-03-23 07:08:06+00,Facebook Ads,Android,1.2,Motorola,Moto G Stylus
0ea9d453-5d0a-409c-ae9d-a5804bcabb76,push,0.00,2025-01-29 04:05:52+00,Orgânico,iOS,1,Apple,iPhone 12
0eb5cc9d-dfb0-4fcb-838c-714af77ef87b,email,0.00,2025-01-01 20:27:37+00,Orgânico,Android,1,Motorola,Moto G Stylus
0f46e400-5a6f-4717-9266-370e1316f72d,email,0.51,2025-03-07 03:54:03+00,Google Ads,Android,2,Xiaomi,Redmi Note 10
0f4bc3ad-8c01-4a2f-b524-cd0b447c9ee9,push,0.00,2025-03-21 03:27:42+00,Orgânico,iOS,1.2,Apple,iPhone 13
0f5a57b7-1961-4eb7-af6d-8180d4b7dded,mms,2.29,2025-01-06 13:40:56+00,Facebook Ads,iOS,1.2,Apple,iPhone 13
0f83fb3c-01d9-48b5-8ba0-12adc865bc26,push,0.00,2025-01-03 09:01:04+00,Orgânico,Android,2,LG,K51
0f8527e2-fc9a-4fb4-bc25-80202476abf9,mms,0.00,2025-01-31 22:28:58+00,Orgânico,Android,1,Xiaomi,Mi 11
0ffec911-6edd-4dcf-95a8-8e26f296839c,mms,1.81,2025-02-27 11:39:14+00,Facebook Ads,Android,1.1,Xiaomi,Poco X3
109bf7e4-508a-42d3-80a9-2517ae1ffd8c,mms,0.00,2025-02-07 14:19:13+00,Orgânico,Android,2,Motorola,Moto Edge
1111dab0-a866-477a-aa25-4d880b2cd041,mms,4.37,2025-01-27 04:18:25+00,Facebook Ads,iOS,1,Apple,iPhone 13
1195112e-aa25-42e6-aaaa-c41b1deb6ffe,sms,0.96,2025-01-06 17:21:30+00,Facebook Ads,iOS,1,Apple,iPhone SE
11d4f40f-6272-4ddf-bd8e-8ed32ad3d0af,push,0.00,2025-03-08 16:16:01+00,Orgânico,Android,2,LG,Velvet
11e9fbf8-ff53-4729-bd35-75dff7c7f749,email,3.01,2025-01-25 15:54:15+00,Facebook Ads,iOS,1.1,Apple,iPhone SE
125261fd-ae0f-4a17-8ee4-01e73f588110,email,0.00,2025-03-02 22:02:44+00,Orgânico,iOS,1.1,Apple,iPhone 12
1269871d-0fe5-455f-b86a-01ce399466a1,sms,0.00,2025-03-21 05:53:45+00,Orgânico,Android,2,LG,Wing
13075256-12a3-4f36-a096-be18bd8a1509,email,4.05,2025-02-28 06:51:28+00,Google Ads,Android,2,LG,K51
131177a9-7a27-488b-9b62-3e5c1369d419,push,0.00,2025-02-18 09:17:08+00,Orgânico,iOS,1.2,Apple,iPhone SE
1324b1fd-4f57-48fe-8924-b99cc5a19bd6,email,2.48,2025-03-21 11:47:44+00,Facebook Ads,Android,1.1,Samsung,Galaxy A52
13f84baf-0559-462e-ae07-4ec20729a674,email,2.71,2025-01-20 17:07:05+00,Facebook Ads,Android,1,Motorola,Moto G Stylus
14848dc8-6e92-4fe3-9b61-f6e9d86b7c0f,sms,0.00,2025-03-27 08:19:02+00,Orgânico,Android,1,Samsung,Galaxy S21
14fbf24a-3bd8-4c0c-97c4-e95664a6dbfb,mms,3.41,2025-03-23 18:16:46+00,Google Ads,iOS,1,Apple,iPhone 13
15082cf2-4889-4ea1-8fa8-2353a59edc10,email,0.00,2025-02-02 21:00:11+00,Orgânico,iOS,1.2,Apple,iPhone SE
15656a15-9090-4e9b-922d-68a7a295d06f,push,0.00,2025-03-11 21:50:58+00,Orgânico,iOS,2,Apple,iPhone 13
156e0c95-7dd2-4a7f-ac45-346e216d3ffd,push,0.00,2025-01-03 01:39:28+00,Orgânico,Android,1.2,LG,Wing
157c70ab-f24d-42e1-9f33-3418706cbb35,push,4.81,2025-02-10 19:16:36+00,Google Ads,Android,1.2,Xiaomi,Mi 11
158c513f-ae6b-4ade-85df-e48f91f6274c,email,2.68,2025-02-07 22:59:03+00,Facebook Ads,iOS,1,Apple,iPhone 13
15967fba-c5ba-4348-8c9b-9978f3191ecb,push,4.31,2025-02-17 14:10:29+00,Google Ads,iOS,1.2,Apple,iPhone SE
15bce94c-7245-4cd2-bf96-c0a33820217f,mms,0.00,2025-02-08 03:09:09+00,Orgânico,iOS,1.2,Apple,iPhone 13
15befc47-95e5-470b-976c-8da58f67a8b2,sms,2.55,2025-01-16 09:51:51+00,Google Ads,iOS,1.2,Apple,iPhone 13
15d9af71-65b1-4bb0-8cc8-0f95c3ad7fb7,email,3.26,2025-02-23 13:15:10+00,Facebook Ads,iOS,1,Apple,iPhone 12
160259d1-dd4f-4208-9d10-3e99b22158d0,push,2.06,2025-03-14 17:23:57+00,Google Ads,iOS,2,Apple,iPhone 13
16d241c1-0dc0-4eaa-9e0f-12f4bf11b8b8,email,0.46,2025-01-17 05:13:21+00,Google Ads,Android,1.2,LG,K51
16d367b5-49e5-4c99-959c-b763afdffe4c,sms,0.58,2025-02-21 05:07:42+00,Facebook Ads,iOS,1.1,Apple,iPhone 13
16e2828b-af81-4f84-88db-077378824cae,push,2.98,2025-02-08 10:45:45+00,Google Ads,iOS,2,Apple,iPhone SE
16fba500-4bea-4382-b05e-ae3b8da237f1,push,0.00,2025-03-04 19:34:21+00,Orgânico,iOS,1.1,Apple,iPhone SE
172ef025-701f-4bd1-afb5-fcc9fe7ad2f3,mms,4.33,2025-01-28 07:18:21+00,Facebook Ads,Android,2,Xiaomi,Mi 11
1812a2a4-3eba-44ab-98dc-8fc607b28fee,sms,0.00,2025-01-17 14:06:13+00,Orgânico,Android,2,Xiaomi,Poco X3
1812a9ec-7298-4fad-80f8-189330c1e442,email,1.67,2025-02-27 00:04:28+00,Facebook Ads,iOS,1.2,Apple,iPhone 12
18583997-d0c3-4ed5-ba00-0fc57f98d77c,mms,0.00,2025-01-24 03:03:48+00,Orgânico,Android,1.2,Xiaomi,Poco X3
190d9586-5b13-4fe2-9c74-a07d76a43eb2,mms,0.00,2025-03-19 15:22:25+00,Orgânico,Android,2,Xiaomi,Mi 11
19458e79-8bcb-4e20-af2f-cbc498a727a6,sms,3.73,2025-03-08 02:51:09+00,Facebook Ads,iOS,1.2,Apple,iPhone SE
19e9c089-ee67-48c6-98af-083664492e34,push,0.00,2025-01-18 21:32:05+00,Orgânico,iOS,1.1,Apple,iPhone SE
19f91131-18ff-44bf-9ec2-4fe632d80498,email,1.85,2025-03-15 07:15:42+00,Facebook Ads,Android,1.1,Xiaomi,Poco X3
1a154933-a9a3-4105-9cba-a0d83f576939,sms,0.00,2025-03-04 08:53:01+00,Orgânico,iOS,2,Apple,iPhone 13
1a288f01-863e-437e-a76e-f8ad75230e11,sms,0.00,2025-03-14 11:53:39+00,Orgânico,iOS,1,Apple,iPhone SE
1a525a90-e1bb-4b01-9665-6cb02c3f267c,email,0.00,2025-01-21 04:23:13+00,Orgânico,Android,2,Samsung,Galaxy S21
1a80530f-a671-441e-a9ce-200c105cf99d,sms,3.74,2025-01-30 14:19:01+00,Google Ads,Android,2,Xiaomi,Redmi Note 10
1ac25f0d-a06c-4834-9c07-e2cad0e0428e,push,1.10,2025-02-26 10:59:23+00,Facebook Ads,Android,1,Motorola,Moto G Stylus
1ca565da-4b4a-43c5-89d9-efc0eb29956c,mms,3.43,2025-03-16 00:17:37+00,Facebook Ads,Android,1.2,Motorola,Moto G Stylus
1ca66e13-0e5c-44c4-a358-fb62e85a23b8,email,3.37,2025-01-05 15:18:27+00,Facebook Ads,iOS,1,Apple,iPhone 12
1cb274a7-392e-4bdd-bb0a-449356edda03,email,0.00,2025-03-01 14:59:00+00,Orgânico,Android,2,Motorola,Moto Edge
1cbd5985-587c-4b8b-b5ac-d16aee2f9876,mms,2.88,2025-02-13 16:26:56+00,Facebook Ads,Android,1,LG,Wing
1d1f7bd2-9808-47e0-abc8-3793296327a3,email,3.01,2025-03-05 19:15:25+00,Google Ads,Android,2,Samsung,Galaxy M32
1d73e149-a528-4056-92c4-971bab1a671c,push,1.68,2025-01-05 15:15:57+00,Facebook Ads,Android,2,Xiaomi,Poco X3
1de5973d-30d8-43ad-9d6d-9e07f9719dca,email,3.76,2025-01-09 02:55:04+00,Facebook Ads,Android,1,Xiaomi,Redmi Note 10
1e0dcd9b-c1be-4a25-ad9b-3358c06a3bdb,mms,3.12,2025-03-18 05:35:30+00,Facebook Ads,Android,2,Xiaomi,Mi 11
1e5a574f-8044-44bf-8a2f-47cc371281f1,email,3.64,2025-01-25 02:41:49+00,Facebook Ads,Android,1.1,Motorola,Moto G Power
1efde57a-cd74-466e-a608-0222f8a2351d,mms,0.62,2025-01-04 20:23:47+00,Facebook Ads,Android,1,LG,Wing
1eff5346-a450-407f-83a7-94ab363ce0c8,push,2.85,2025-03-22 13:40:56+00,Facebook Ads,Android,1,Motorola,Moto G Power
1f463379-b919-431b-aa3f-906f30d22def,sms,0.00,2025-01-04 23:04:03+00,Orgânico,iOS,1.2,Apple,iPhone SE
1f63d762-eb34-41a7-9a28-d4ee4a895c8b,mms,2.42,2025-02-22 03:45:09+00,Google Ads,iOS,1,Apple,iPhone 12
1f642c93-d3b7-4495-80a3-735cd0e02966,mms,3.19,2025-03-19 16:17:28+00,Google Ads,Android,2,Motorola,Moto G Power
1faf8869-fcf0-4f39-a22b-8db5fb3e1b59,mms,1.83,2025-01-20 07:55:07+00,Google Ads,Android,1.2,Motorola,Moto Edge
1fdbdcd0-d0c4-42b9-9dca-e5d12ce2b5e2,push,2.41,2025-03-26 20:07:44+00,Facebook Ads,Android,1.1,Samsung,Galaxy M32
1ff84875-6efc-49fb-a063-e1f6cfe2fa42,email,2.66,2025-01-21 04:22:14+00,Facebook Ads,Android,2,Xiaomi,Redmi Note 10
1ffd8739-e14d-4f51-837e-6303aa3287a5,mms,0.92,2025-01-20 13:00:13+00,Google Ads,Android,2,Motorola,Moto G Stylus
20b15ceb-d6f0-4f86-9489-098a8ab0c8d5,email,3.56,2025-02-19 03:51:37+00,Google Ads,Android,2,Samsung,Galaxy S21
20bd3136-28e0-4ad6-9dd7-88103c9eeff8,sms,3.83,2025-01-17 19:51:38+00,Google Ads,Android,1,Xiaomi,Redmi Note 10
20e1bc4d-b32c-49ea-8b41-eb093a901af0,push,0.22,2025-02-28 01:59:28+00,Facebook Ads,Android,1,LG,Velvet
20e572cd-e02a-4b92-b706-1aa34404a2b9,push,0.00,2025-03-10 00:07:51+00,Orgânico,iOS,1.1,Apple,iPhone 12
21a67327-b8dc-4b9c-9ea2-c6c0e8009000,push,0.00,2025-02-03 14:31:26+00,Orgânico,iOS,1,Apple,iPhone SE
21a95731-065f-4077-9f6d-935c9d7767dd,email,0.00,2025-02-13 18:04:28+00,Orgânico,Android,1.1,Xiaomi,Redmi Note 10
21b8da9f-2d8b-4893-8f3f-fd0ec1e2d704,sms,1.39,2025-02-27 00:15:16+00,Facebook Ads,iOS,1.2,Apple,iPhone SE
22541800-6135-4b05-88b3-01c78a2bad81,mms,0.79,2025-02-05 21:33:27+00,Google Ads,iOS,2,Apple,iPhone SE
22bc9898-3d0a-4540-a9c0-840a2aab12ec,mms,0.00,2025-02-14 22:10:45+00,Orgânico,iOS,1.2,Apple,iPhone 13
22d89b0e-43e8-46b5-b9f7-01e34fb6a03b,email,4.89,2025-03-14 01:36:27+00,Facebook Ads,iOS,2,Apple,iPhone 13
23677294-2443-47c4-9215-d1610f7582fa,mms,0.70,2025-03-10 00:01:49+00,Facebook Ads,Android,1.1,Motorola,Moto Edge
23a971c8-01b5-45a3-8e3f-3522479fed26,push,0.34,2025-02-11 23:26:32+00,Facebook Ads,Android,1.2,Motorola,Moto G Stylus
24a0adf0-bb2e-4e00-b9b2-9c122cd268fa,sms,2.90,2025-02-15 10:44:02+00,Facebook Ads,iOS,1.2,Apple,iPhone SE
24d7b12c-8df9-4c09-9771-7517d8992e84,sms,3.30,2025-02-07 04:14:04+00,Facebook Ads,Android,1,Xiaomi,Poco X3
24db78d8-59e9-4bae-8b4e-eeaee92184dc,mms,0.00,2025-02-22 07:58:43+00,Orgânico,Android,1.1,LG,Wing
24f33e76-63f4-465c-9a2e-ed18ceba4a7c,sms,1.63,2025-01-01 09:21:57+00,Facebook Ads,iOS,2,Apple,iPhone 12
24f65ba1-bc39-442b-83fd-adcbfe3eba3d,push,3.16,2025-01-03 00:51:54+00,Google Ads,Android,1.1,Samsung,Galaxy S21
25993933-95d4-4d38-b4bb-1da4376967bb,email,0.00,2025-02-09 06:18:35+00,Orgânico,Android,2,Samsung,Galaxy M32
25f92d6d-70f7-4e9c-b8fb-72e070850c59,push,0.00,2025-03-05 00:22:15+00,Orgânico,iOS,2,Apple,iPhone 13
2649b7ce-521f-47a7-8021-bd832defc2cb,sms,2.87,2025-03-26 06:43:15+00,Facebook Ads,Android,1.2,Samsung,Galaxy S21
264a0e39-1d91-4c12-9274-22a6754aa631,email,1.96,2025-03-25 17:44:39+00,Google Ads,Android,1,LG,K51
267f8895-6597-41aa-a891-55bfa64afff8,sms,4.94,2025-02-03 09:59:15+00,Google Ads,iOS,1.1,Apple,iPhone 13
2688d0ba-7abc-41d4-92b6-f9d21ac7361f,push,0.00,2025-01-13 00:28:09+00,Orgânico,Android,1.2,Xiaomi,Mi 11
26959e9b-abae-4cee-9b05-39708356ec9c,sms,2.01,2025-01-31 17:15:12+00,Facebook Ads,iOS,1.2,Apple,iPhone SE
26e2badc-c8bf-414c-bb58-7f1fadedc6d3,mms,1.23,2025-03-23 14:01:07+00,Google Ads,Android,2,LG,K51
270a67f1-0452-426b-8ca9-3c2164bc8fa4,push,4.33,2025-02-21 13:25:53+00,Google Ads,Android,1,Samsung,Galaxy A52
276aee95-97fe-446f-b9e0-d86ef08dcad8,mms,1.83,2025-02-13 07:11:57+00,Google Ads,Android,1,Samsung,Galaxy A52
27ce3e4c-5592-43f2-ad4c-f141f48fbde7,email,0.96,2025-02-05 09:58:26+00,Google Ads,Android,2,LG,K51
28acd53b-a90a-4c14-9034-60ff8a1291bb,sms,4.49,2025-03-08 18:09:43+00,Facebook Ads,Android,1,Motorola,Moto Edge
29c060fc-0e38-433a-bd47-21079b212435,mms,4.34,2025-03-09 03:05:01+00,Google Ads,iOS,1,Apple,iPhone 12
29eaa917-0ba3-435f-870e-e3fc4b778b96,sms,0.00,2025-03-01 21:35:11+00,Orgânico,iOS,1,Apple,iPhone 13
29ed3ab0-fa47-4fdb-9dc1-1394df463475,email,4.27,2025-01-09 05:56:33+00,Google Ads,iOS,1.2,Apple,iPhone SE
2a1be7db-e3ad-4008-98e5-96fd737e28a7,push,0.00,2025-01-02 18:23:58+00,Orgânico,iOS,1,Apple,iPhone SE
2a2fbf68-f611-4322-9c82-31db6388d5dc,email,0.00,2025-03-12 15:23:00+00,Orgânico,iOS,1.1,Apple,iPhone 12
2a69451b-3b95-4214-b3f3-181cdf6e4406,mms,4.65,2025-03-10 02:51:02+00,Google Ads,Android,2,Samsung,Galaxy M32
2a6dcb48-f9b8-4cde-b7ce-f9780c23487d,push,0.00,2025-02-22 18:50:23+00,Orgânico,Android,1.1,Xiaomi,Mi 11
2afe66f1-76a6-4e96-802b-e0f6d437f3ba,mms,2.35,2025-03-26 15:32:19+00,Google Ads,iOS,1.2,Apple,iPhone 12
2b2c070b-a2a2-4c68-9fc6-262c33dce632,email,3.23,2025-03-20 01:10:20+00,Facebook Ads,iOS,1.1,Apple,iPhone 12
2b6449ef-8478-4765-8801-6eb42eadeac9,email,4.55,2025-03-04 08:48:34+00,Google Ads,Android,1.2,Motorola,Moto Edge
2b6c4cee-5fe9-4fed-9041-13e914f157be,mms,4.50,2025-02-10 18:57:07+00,Google Ads,Android,1.2,Xiaomi,Poco X3
2b7279f0-18e7-4459-905f-9de44c83b857,sms,4.91,2025-02-23 16:32:39+00,Facebook Ads,Android,2,Motorola,Moto G Power
2ba4e972-89a8-4d51-8fc9-e14fd746e84b,push,4.33,2025-03-08 01:52:21+00,Facebook Ads,Android,2,Motorola,Moto G Power
2bb6e3e3-8df7-4d54-bf5a-4974b08f4e0c,push,3.41,2025-01-26 14:21:48+00,Google Ads,iOS,1,Apple,iPhone 13
2bf030db-8a71-4009-ae2d-8774c86d3275,mms,0.65,2025-03-01 05:00:22+00,Facebook Ads,iOS,1,Apple,iPhone 13
2bf79605-8bd4-4e98-87ce-29b6550ac0b4,mms,4.87,2025-01-01 16:29:47+00,Facebook Ads,iOS,1.2,Apple,iPhone 12
2c134962-296a-4f02-8e8c-29796f1948bc,push,1.03,2025-03-05 20:57:36+00,Facebook Ads,iOS,1.1,Apple,iPhone 12
2c16b2ba-8325-4ebd-9e5f-f9e8e49f9fa8,email,0.00,2025-01-25 09:55:36+00,Orgânico,iOS,1,Apple,iPhone SE
2c5048aa-f43b-48d9-a4ad-45b8bbce1e14,sms,0.00,2025-01-17 18:43:50+00,Orgânico,Android,1.2,LG,Velvet
2c719885-3b62-48a4-b5ca-a7feb8cae69c,mms,0.00,2025-03-25 09:13:34+00,Orgânico,iOS,1.1,Apple,iPhone SE
2c8cc14c-47e9-4af9-804d-c0f96339e43d,sms,0.00,2025-01-26 19:58:24+00,Orgânico,iOS,1,Apple,iPhone 12
2cc67e7f-4773-47ac-b0b0-4a996a418d4b,mms,0.00,2025-03-09 15:48:41+00,Orgânico,iOS,1,Apple,iPhone 12
2df25d08-29b5-4bca-a367-8d9f80048c36,sms,0.00,2025-02-14 18:20:26+00,Orgânico,Android,1.1,Motorola,Moto G Stylus
2e3a2302-7c05-45a0-a802-a95498d7cdf5,email,1.75,2025-01-07 18:16:47+00,Google Ads,iOS,1.1,Apple,iPhone 12
2e639115-6360-45e4-b276-c7969165b8d7,email,2.14,2025-02-04 11:51:07+00,Facebook Ads,iOS,1.2,Apple,iPhone 12
2ec947b8-4445-424f-84f7-29cdf46132e0,mms,1.41,2025-01-25 07:34:11+00,Google Ads,Android,1.1,Motorola,Moto G Stylus
2edbbd17-5d2d-4f90-a1b6-6135614978ee,push,4.36,2025-03-09 02:32:50+00,Google Ads,iOS,1,Apple,iPhone SE
2f028a04-fe2c-4fd3-a79c-ea2d4e3e8291,sms,3.06,2025-01-29 07:45:27+00,Facebook Ads,iOS,1.2,Apple,iPhone 12
2f055724-452e-4fae-ba5a-a556c45936ad,mms,3.14,2025-03-14 16:55:22+00,Google Ads,iOS,1,Apple,iPhone 12
2f1f749e-206e-4edd-b962-f1980cbe2a32,push,0.25,2025-03-25 13:15:52+00,Facebook Ads,iOS,1.1,Apple,iPhone SE
2f44d462-04f7-4ef0-92f3-dcd92d782ca9,push,3.34,2025-03-01 00:35:18+00,Google Ads,iOS,1.2,Apple,iPhone SE
2f9ffd6c-a338-450e-83ac-6457e7090ea4,email,1.42,2025-03-08 10:18:18+00,Facebook Ads,Android,1,Samsung,Galaxy A52
2fa5924a-ac7e-45dc-9038-5f0b04c3d52a,push,2.78,2025-03-16 20:42:39+00,Facebook Ads,iOS,2,Apple,iPhone SE
2fa9859f-2f7a-41a7-92af-bd0c18477015,mms,2.78,2025-03-29 11:16:26+00,Google Ads,Android,1.1,LG,K51
2fdc7166-8b83-487b-b24f-4d55e7829e04,email,2.66,2025-02-09 11:04:41+00,Facebook Ads,iOS,2,Apple,iPhone 13
2fe5c670-0e4d-4023-8942-49e0cacc4d55,mms,3.03,2025-03-12 15:14:42+00,Google Ads,iOS,1,Apple,iPhone 12
2fe8501c-a462-4c8b-87fb-e06148066bea,sms,2.19,2025-01-16 16:22:51+00,Facebook Ads,iOS,1.1,Apple,iPhone 12
2fee2f6e-201b-4f86-b5a3-01434803337f,mms,0.00,2025-03-22 10:13:19+00,Orgânico,Android,1.2,LG,Velvet
3021d318-3b4b-42f1-beed-e5c39de38722,sms,4.88,2025-03-17 23:01:16+00,Facebook Ads,Android,1,LG,K51
