DATA;REDE;DESCRIÇÃO LOCAL;DESCRIÇÃO ITEM;TOTAL DE VENDAS;Outubro_2024;Novembro_2024;BlackFriday_2024;Dezembro_2024;Natal_2024;Outubro_2025;Novembro_2025;BlackFriday_2025;Dezembro_2025;Natal_2025;DESCRIÇÃO LOCAL;PROMOTOR RESPONSAVEL;MPDV DO LOCAL
21/11/2025;FAST SHOP;LOJA 1735;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;R$ 800,00;R$ 720,00;R$ 560,00;R$ 744,00;R$ 816,00;R$ 824,00;R$ 736,00;R$ 576,00;R$ 760,00;R$ 840,00;LOJA 25;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1594;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 880,00;R$ 792,00;R$ 616,00;R$ 818,00;R$ 897,00;R$ 906,00;R$ 809,00;R$ 633,00;R$ 836,00;R$ 924,00;LOJA 26;SEM ATENDIMENTO;N/A
17/10/2024;FAST SHOP;LOJA 1680;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 919,00;R$ 827,00;R$ 643,00;R$ 854,00;R$ 937,00;R$ 946,00;R$ 845,00;R$ 661,00;R$ 873,00;R$ 964,00;LOJA 27;SEM ATENDIMENTO;N/A
28/11/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 800,00;R$ 720,00;R$ 560,00;R$ 744,00;R$ 816,00;R$ 824,00;R$ 736,00;R$ 576,00;R$ 760,00;R$ 840,00;LOJA 28;NAIARA COSTA;N/A
10/12/2024;FAST SHOP;LOJA 1590;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;R$ 880,00;R$ 792,00;R$ 616,00;R$ 818,00;R$ 897,00;R$ 906,00;R$ 809,00;R$ 633,00;R$ 836,00;R$ 924,00;LOJA 29;SEM ATENDIMENTO;N/A
12/12/2024;FAST SHOP;LOJA 1590;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;R$ 919,00;R$ 827,00;R$ 643,00;R$ 854,00;R$ 937,00;R$ 946,00;R$ 845,00;R$ 661,00;R$ 873,00;R$ 964,00;LOJA 30;SEM ATENDIMENTO;N/A
27/11/2025;FAST SHOP;LOJA 1727;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;R$ 800,00;R$ 720,00;R$ 560,00;R$ 744,00;R$ 816,00;R$ 824,00;R$ 736,00;R$ 576,00;R$ 760,00;R$ 840,00;LOJA 31;SEM ATENDIMENTO;N/A
16/10/2024;FAST SHOP;LOJA 1627;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;2;R$ 880,00;R$ 792,00;R$ 616,00;R$ 818,00;R$ 897,00;R$ 906,00;R$ 809,00;R$ 633,00;R$ 836,00;R$ 924,00;LOJA 32;SEM ATENDIMENTO;N/A
30/11/2025;FAST SHOP;LOJA 1686;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;R$ 919,00;R$ 827,00;R$ 643,00;R$ 854,00;R$ 937,00;R$ 946,00;R$ 845,00;R$ 661,00;R$ 873,00;R$ 964,00;LOJA 33;SEM ATENDIMENTO;N/A
11/11/2025;FAST SHOP;LOJA 1594;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 700,00;R$ 630,00;R$ 489,00;R$ 651,00;R$ 714,00;R$ 721,00;R$ 644,00;R$ 504,00;R$ 665,00;R$ 735,00;LOJA 34;SEM ATENDIMENTO;N/A
17/10/2024;FAST SHOP;LOJA 1594;ECHO SPOT™ - PRETO;0;R$ 770,00;R$ 693,00;R$ 539,00;R$ 716,00;R$ 785,00;R$ 793,00;R$ 708,00;R$ 554,00;R$ 731,00;R$ 808,00;LOJA 35;SEM ATENDIMENTO;N/A
11/11/2025;FAST SHOP;LOJA 1594;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;R$ 804,00;R$ 723,00;R$ 562,00;R$ 747,00;R$ 820,00;R$ 828,00;R$ 739,00;R$ 578,00;R$ 763,00;R$ 844,00;LOJA 36;SEM ATENDIMENTO;N/A
17/11/2025;FAST SHOP;LOJA 1600;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;R$ 700,00;R$ 630,00;R$ 489,00;R$ 651,00;R$ 714,00;R$ 721,00;R$ 644,00;R$ 504,00;R$ 665,00;R$ 735,00;LOJA 37;SEM ATENDIMENTO;N/A
01/12/2025;VIVO;LOJA 293;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;R$ 770,00;R$ 693,00;R$ 539,00;R$ 716,00;R$ 785,00;R$ 793,00;R$ 708,00;R$ 554,00;R$ 731,00;R$ 808,00;LOJA 38;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1586;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;R$ 804,00;R$ 723,00;R$ 562,00;R$ 747,00;R$ 820,00;R$ 828,00;R$ 739,00;R$ 578,00;R$ 763,00;R$ 844,00;LOJA 39;SEM ATENDIMENTO;N/A
29/10/2024;FAST SHOP;LOJA 1680;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;R$ 1.800,00;R$ 1.620,00;R$ 1.260,00;R$ 1.674,00;R$ 1.836,00;R$ 1.854,00;R$ 1.656,00;R$ 1.296,00;R$ 1.710,00;R$ 1.890,00;LOJA 40;SEM ATENDIMENTO;N/A
21/10/2024;FAST SHOP;LOJA 1686;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;0;R$ 1.980,00;R$ 1.782,00;R$ 1.386,00;R$ 1.841,00;R$ 2.019,00;R$ 2.039,00;R$ 1.821,00;R$ 1.425,00;R$ 1.881,00;R$ 2.079,00;LOJA 41;SEM ATENDIMENTO;N/A
14/10/2024;FAST SHOP;LOJA 1708;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;R$ 2.070,00;R$ 1.863,00;R$ 1.449,00;R$ 1.925,00;R$ 2.111,00;R$ 2.132,00;R$ 1.904,00;R$ 1.490,00;R$ 1.966,00;R$ 2.173,00;LOJA 42;SEM ATENDIMENTO;N/A
26/11/2025;FAST SHOP;LOJA 1634;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;R$ 300,00;R$ 270,00;R$ 210,00;R$ 279,00;R$ 306,00;R$ 309,00;R$ 276,00;R$ 216,00;R$ 285,00;R$ 315,00;LOJA 43;SEM ATENDIMENTO;N/A
21/10/2024;FAST SHOP;LOJA 1680;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;R$ 330,00;R$ 297,00;R$ 230,00;R$ 306,00;R$ 336,00;R$ 339,00;R$ 303,00;R$ 237,00;R$ 313,00;R$ 346,00;LOJA 44;SEM ATENDIMENTO;N/A
30/11/2024;FAST SHOP;LOJA 1708;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;R$ 345,00;R$ 310,00;R$ 241,00;R$ 320,00;R$ 351,00;R$ 355,00;R$ 317,00;R$ 248,00;R$ 327,00;R$ 362,00;LOJA 45;SEM ATENDIMENTO;N/A
26/11/2024;FAST SHOP;LOJA 1592;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 700,00;R$ 630,00;R$ 489,00;R$ 651,00;R$ 714,00;R$ 721,00;R$ 644,00;R$ 504,00;R$ 665,00;R$ 735,00;LOJA 46;SEM ATENDIMENTO;N/A
27/11/2025;FAST SHOP;LOJA 1600;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;R$ 770,00;R$ 693,00;R$ 539,00;R$ 716,00;R$ 785,00;R$ 793,00;R$ 708,00;R$ 554,00;R$ 731,00;R$ 808,00;LOJA 47;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1629;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;R$ 804,00;R$ 723,00;R$ 562,00;R$ 747,00;R$ 820,00;R$ 828,00;R$ 739,00;R$ 578,00;R$ 763,00;R$ 844,00;LOJA 48;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1646;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;R$ 700,00;R$ 630,00;R$ 489,00;R$ 651,00;R$ 714,00;R$ 721,00;R$ 644,00;R$ 504,00;R$ 665,00;R$ 735,00;LOJA 49;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1694;ECHO SPOT™ - PRETO;1;R$ 770,00;R$ 693,00;R$ 539,00;R$ 716,00;R$ 785,00;R$ 793,00;R$ 708,00;R$ 554,00;R$ 731,00;R$ 808,00;LOJA 50;SEM ATENDIMENTO;N/A
17/11/2025;FAST SHOP;LOJA 1721;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;R$ 804,00;R$ 723,00;R$ 562,00;R$ 747,00;R$ 820,00;R$ 828,00;R$ 739,00;R$ 578,00;R$ 763,00;R$ 844,00;LOJA 51;SEM ATENDIMENTO;N/A
01/12/2025;FAST SHOP;LOJA 1721;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;R$ 950,00;R$ 855,00;R$ 665,00;R$ 883,00;R$ 969,00;R$ 978,00;R$ 874,00;R$ 684,00;R$ 902,00;R$ 997,00;LOJA 52;SEM ATENDIMENTO;N/A
28/11/2024;FAST SHOP;LOJA 1602;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;R$ 1.045,00;R$ 940,00;R$ 731,00;R$ 971,00;R$ 1.065,00;R$ 1.076,00;R$ 961,00;R$ 752,00;R$ 992,00;R$ 1.097,00;LOJA 53;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1627;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;R$ 1.092,00;R$ 982,00;R$ 764,00;R$ 1.015,00;R$ 1.113,00;R$ 1.124,00;R$ 1.004,00;R$ 786,00;R$ 1.037,00;R$ 1.146,00;LOJA 54;SEM ATENDIMENTO;N/A
01/12/2024;FAST SHOP;LOJA 1627;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;R$ 700,00;R$ 630,00;R$ 489,00;R$ 651,00;R$ 714,00;R$ 721,00;R$ 644,00;R$ 504,00;R$ 665,00;R$ 735,00;LOJA 55;SEM ATENDIMENTO;N/A
19/11/2024;FAST SHOP;LOJA 1629;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;R$ 770,00;R$ 693,00;R$ 539,00;R$ 716,00;R$ 785,00;R$ 793,00;R$ 708,00;R$ 554,00;R$ 731,00;R$ 808,00;LOJA 56;SEM ATENDIMENTO;N/A
28/11/2024;FAST SHOP;LOJA 1638;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;R$ 804,00;R$ 723,00;R$ 562,00;R$ 747,00;R$ 820,00;R$ 828,00;R$ 739,00;R$ 578,00;R$ 763,00;R$ 844,00;LOJA 57;SEM ATENDIMENTO;N/A
18/11/2024;FAST SHOP;LOJA 1642;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;R$ 700,00;R$ 630,00;R$ 489,00;R$ 651,00;R$ 714,00;R$ 721,00;R$ 644,00;R$ 504,00;R$ 665,00;R$ 735,00;LOJA 58;SEM ATENDIMENTO;N/A
18/11/2024;FAST SHOP;LOJA 1664;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;R$ 770,00;R$ 693,00;R$ 539,00;R$ 716,00;R$ 785,00;R$ 793,00;R$ 708,00;R$ 554,00;R$ 731,00;R$ 808,00;LOJA 59;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1686;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;R$ 804,00;R$ 723,00;R$ 562,00;R$ 747,00;R$ 820,00;R$ 828,00;R$ 739,00;R$ 578,00;R$ 763,00;R$ 844,00;LOJA 60;SEM ATENDIMENTO;N/A
18/12/2025;FAST SHOP;LOJA 1723;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;R$ 650,00;R$ 585,00;R$ 454,00;R$ 604,00;R$ 663,00;R$ 669,00;R$ 598,00;R$ 468,00;R$ 617,00;R$ 682,00;LOJA 61;SEM ATENDIMENTO;N/A
25/11/2024;FAST SHOP;LOJA 1586;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 715,00;R$ 643,00;R$ 500,00;R$ 664,00;R$ 729,00;R$ 736,00;R$ 657,00;R$ 514,00;R$ 679,00;R$ 750,00;LOJA 62;SEM ATENDIMENTO;N/A
07/12/2024;FAST SHOP;LOJA 1606;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;R$ 747,00;R$ 672,00;R$ 522,00;R$ 694,00;R$ 761,00;R$ 769,00;R$ 687,00;R$ 537,00;R$ 709,00;R$ 784,00;LOJA 63;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 450,00;R$ 405,00;R$ 315,00;R$ 418,00;R$ 459,00;R$ 463,00;R$ 414,00;R$ 324,00;R$ 427,00;R$ 472,00;LOJA 64;SEM ATENDIMENTO;N/A
14/11/2024;FAST SHOP;LOJA 1652;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;0;R$ 495,00;R$ 445,00;R$ 346,00;R$ 460,00;R$ 504,00;R$ 509,00;R$ 455,00;R$ 356,00;R$ 470,00;R$ 519,00;LOJA 65;SEM ATENDIMENTO;N/A
30/11/2025;VIVO;LOJA 818;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;R$ 517,00;R$ 465,00;R$ 361,00;R$ 480,00;R$ 527,00;R$ 532,00;R$ 475,00;R$ 372,00;R$ 491,00;R$ 542,00;LOJA 66;SEM ATENDIMENTO;N/A
07/10/2024;FAST SHOP;LOJA 1590;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 67;SEM ATENDIMENTO;N/A
28/11/2024;FAST SHOP;LOJA 1602;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;LOJA 68;SEM ATENDIMENTO;N/A
19/11/2024;FAST SHOP;LOJA 1638;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 69;SEM ATENDIMENTO;N/A
21/11/2024;FAST SHOP;LOJA 1638;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 70;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1650;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 71;SEM ATENDIMENTO;N/A
14/11/2024;FAST SHOP;LOJA 1656;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;LOJA 72;SEM ATENDIMENTO;N/A
22/11/2024;FAST SHOP;LOJA 1680;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 73;SEM ATENDIMENTO;N/A
27/11/2025;FAST SHOP;LOJA 1727;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 74;SEM ATENDIMENTO;N/A
28/11/2025;VIVO;LOJA 814;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 75;SEM ATENDIMENTO;N/A
18/12/2025;FAST SHOP;LOJA 1735;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;LOJA 76;SEM ATENDIMENTO;N/A
21/11/2025;FAST SHOP;LOJA 1735;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;0;;;;;;;;;;;LOJA 77;SEM ATENDIMENTO;N/A
27/11/2024;FAST SHOP;LOJA 1592;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 78;SEM ATENDIMENTO;N/A
16/11/2024;FAST SHOP;LOJA 1629;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;LOJA 79;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1680;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 80;SEM ATENDIMENTO;N/A
28/11/2024;FAST SHOP;LOJA 1696;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 81;SEM ATENDIMENTO;N/A
28/11/2024;FAST SHOP;LOJA 1744;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;LOJA 82;SEM ATENDIMENTO;N/A
29/11/2025;VIVO;LOJA 818;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 83;SEM ATENDIMENTO;N/A
04/12/2024;FAST SHOP;LOJA 1586;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 84;SEM ATENDIMENTO;N/A
30/11/2024;FAST SHOP;LOJA 1590;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;LOJA 85;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1592;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;LOJA 86;FRANCILENE SOUZA;DOT 5ª GER. E SHOW 5 3ª GER.
26/11/2025;FAST SHOP;LOJA 1600;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;LOJA 87;SEM ATENDIMENTO;N/A
28/11/2025;FAST SHOP;LOJA 1600;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;LOJA 88;SEM ATENDIMENTO;DOT 5ª GER. E SHOW 5 3ª GER.
22/11/2024;FAST SHOP;LOJA 1604;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 89;PAOLA MENDES;DOT MAX
26/11/2025;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 90;ANNE MARQUES;N/A
26/11/2025;FAST SHOP;LOJA 1612;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 91;DIEGO PIGNONE;DOT 5ª GER., SHOW 5 3ª GER E DOT MAX
22/11/2024;FAST SHOP;LOJA 1630;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;0;;;;;;;;;;;LOJA 92;DIEGO PIGNONE;DOT MAX
23/10/2024;FAST SHOP;LOJA 1644;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;LOJA 93;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1710;ECHO SPOT™ - PRETO;1;;;;;;;;;;;LOJA 94;SEM ATENDIMENTO;N/A
28/11/2025;VIVO;LOJA 305;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;LOJA 95;DEIVIDE OLIVEIRA;N/A
29/11/2024;FAST SHOP;LOJA 1590;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 96;SEM ATENDIMENTO;DOT 5ª GER., SHOW 5 3ª GER E DOT MAX
27/11/2025;FAST SHOP;LOJA 1600;ECHO DOT™ (5ª GERAÇÃO) - AZUL;1;;;;;;;;;;;LOJA 97;SEM ATENDIMENTO;N/A
26/11/2025;FAST SHOP;LOJA 1612;ECHO SPOT™ - PRETO;0;;;;;;;;;;;LOJA 98;SEM ATENDIMENTO;N/A
15/10/2024;FAST SHOP;LOJA 1627;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 99;SEM ATENDIMENTO;N/A
